[[4, 7, 1], [0, 6, 3], [8, 5, 2]]
[[4, 7, 1], [6, 0, 3], [8, 5, 2]]
[[4, 7, 1], [6, 3, 0], [8, 5, 2]]
[[4, 7, 1], [6, 3, 2], [8, 5, 0]]
[[4, 7, 1], [6, 3, 2], [8, 0, 5]]
[[4, 7, 1], [6, 3, 2], [0, 8, 5]]
[[4, 7, 1], [0, 3, 2], [6, 8, 5]]
[[0, 7, 1], [4, 3, 2], [6, 8, 5]]
[[7, 0, 1], [4, 3, 2], [6, 8, 5]]
[[7, 1, 0], [4, 3, 2], [6, 8, 5]]
[[7, 1, 2], [4, 3, 0], [6, 8, 5]]
[[7, 1, 2], [4, 0, 3], [6, 8, 5]]
[[7, 1, 2], [0, 4, 3], [6, 8, 5]]
[[0, 1, 2], [7, 4, 3], [6, 8, 5]]
[[1, 0, 2], [7, 4, 3], [6, 8, 5]]
[[1, 2, 0], [7, 4, 3], [6, 8, 5]]
[[1, 2, 3], [7, 4, 0], [6, 8, 5]]
[[1, 2, 3], [7, 0, 4], [6, 8, 5]]
[[1, 2, 3], [7, 8, 4], [6, 0, 5]]
[[1, 2, 3], [7, 8, 4], [0, 6, 5]]
[[1, 2, 3], [0, 8, 4], [7, 6, 5]]
[[1, 2, 3], [8, 0, 4], [7, 6, 5]]
